kepid,probability,tier
6436029,0.97338766,High
9086154,0.97329164,High
9006186,0.9724938,High
11253711,0.97246706,High
4552729,0.97219354,High
3559860,0.97213453,High
5531694,0.97209215,High
9427402,0.9720337,High
1717722,0.9715261,High
11336883,0.9710028,High
7377343,0.9709807,High
10141900,0.97058994,High
6058816,0.9705879,High
7918652,0.970502,High
11520459,0.9704861,High
6975129,0.9704048,High
5374838,0.97036886,High
9478990,0.97030324,High
8105398,0.9695481,High
8240904,0.9694299,High
10290666,0.9687951,High
7289317,0.9681971,High
8639908,0.9680856,High
8631160,0.9675135,High
6543893,0.9674463,High
10917043,0.9672588,High
7767162,0.96697134,High
1724719,0.96653837,High
8197793,0.9664277,High
6221385,0.9660628,High
6372194,0.96601117,High
4670217,0.9659691,High
10122538,0.96573526,High
4471747,0.9652312,High
7984047,0.965163,High
12737015,0.9646949,High
5956656,0.96403396,High
8822421,0.9639701,High
10875007,0.96385753,High
9716028,0.96368545,High
4846856,0.9631728,High
1996180,0.9629037,High
5787131,0.9628409,High
9973109,0.9621325,High
10073672,0.96205544,High
9015738,0.96165127,High
2715695,0.96141464,High
12253769,0.9610985,High
10964440,0.960899,High
9514372,0.9608891,High
8189801,0.96057653,High
9532710,0.96054953,High
4857058,0.9604941,High
10028792,0.96048003,High
3548044,0.96015483,High
7673841,0.95957506,High
7984574,0.95956856,High
9100953,0.95924884,High
2443393,0.95900595,High
6103377,0.9588629,High
10597693,0.958499,High
7887791,0.9583529,High
9995771,0.9580528,High
5706595,0.95803654,High
6364582,0.95803213,High
10157458,0.95759153,High
9153823,0.9569523,High
7033233,0.95690846,High
2975770,0.9564326,High
2446113,0.95640075,High
6438099,0.9560697,High
6067545,0.9553418,High
11036168,0.9550342,High
8684730,0.95491755,High
3634051,0.954669,High
4164922,0.954538,High
7620413,0.9541797,High
6719086,0.95413315,High
2716801,0.9538642,High
6268648,0.953846,High
7834045,0.95342374,High
6679295,0.9527953,High
5175024,0.9525614,High
11705004,0.95184696,High
3561464,0.951686,High
7768451,0.9515407,High
4947556,0.9515327,High
3648437,0.9510188,High
