period,bls_power,depth,depth_ratio,duration,rp_over_rs,symmetry,snr,cdpp,std_oot,flux_asymmetry,skewness,kurtosis,sec_eclipse_depth,transit_snr_bls,odd_even_diff,out_of_transit_rms,label,kepid,archive_snr,planet_radius,archive_duration,stellar_teff,stellar_logg,max_mes,max_ses,impact_parameter
17.960804020100504,59.3664980650188,4.697412761444529e-05,1.1493407547300905,0.33,0.0147906798981906,0.999965666889657,1.1203183538936603,42.81488711149039,0.0001952696848091,4.018731587951407e-06,12.054595814765582,671.1732766683109,0.0001903378624743,6.0220044823969925,0.0002339895344232,1.0000040342444068,0,7466863,42.6,5.84,2.7607,6312.0,4.127,37.14715,6.180694,0.999
20.02010050251256,14854.978526033938,0.0002731397237392,0.9701347201830656,0.33,0.0199398111456332,0.9999010195879834,0.8676386806059051,38.90689966165501,0.0004582507412484,1.3869281360268104e-05,-0.5995870356343865,2.43944044536066,0.0004098349333521,6.648914042291366,8.65463217436524e-05,0.999985680659078,0,5887393,11.8,1.11,3.028,7612.0,3.787,8.886386,3.476329,0.817
25.45427135678392,234.88631377855788,6.19710117993057e-05,1.0566026460749205,0.33,0.0104908589387758,0.999968777810992,0.8234511882977424,36.6723186310094,0.0001336546996802,1.2585833868428151e-06,2.890877915958045,97.21369124775651,0.0001041612616431,3.5747071930377308,7.2722612518894e-05,1.0000010601141658,1,11336883,36.3,1.61,4.6766,6221.0,4.198,27.370365,5.009158,0.573
27.32562814070352,302.7709538210636,0.0002358791834689,0.889879145621423,0.33,0.0209986418287004,0.9998655765857596,0.9608160375205432,112.46988075824358,0.0004589254773348,7.065044847043289e-06,2.218538777524837,101.97454726206124,0.0004955078124265,3.879447800934788,0.0001510497393502,0.9999943757171192,1,12055539,18.7,1.67,3.002,6075.0,4.486,15.709525,3.9461906,0.026
27.36432337,107.31749330580509,0.0002709956272142,0.9967649651382544,0.33,0.0496004061015748,0.9998296640592836,3.749793661080632,164.48930180045895,0.0006560895099311,3.5126751984360105e-05,4.211669770996819,151.73404493740918,0.0024681839497989,4.222957696761353,0.0002212558182118,1.0000075760738656,0,5306720,42.3,39.49,3.545,6167.0,4.428,40.305756,9.712358,1.273
9.98994974874372,31.03167575228593,4.381885025181475e-05,0.8499055332366996,0.33,0.0103862850538784,0.9999564334284085,0.3446872562638113,68.05251148691873,0.0003129646230316,4.959797978543179e-06,4.143080402289923,117.4438472125339,0.0001269247735146,3.516396223583386,6.937966892894831e-05,1.0000087659383643,0,3098843,31.6,2.57,2.95,5767.0,4.448,26.0517345,5.9754972,0.58
0.4080402010050251,48.93468603311182,1.725684270876159e-05,0.5024013006671926,0.33,0.0029202702498334,0.9999883602585036,0.0125471364667041,105.62321817112074,0.0006796752673163,5.325049046822628e-06,31.38730551967693,1666.442989400648,1.6973435218892163e-05,6.577363756814693,3.353511153780797e-05,1.0000250753491344,0,10294465,31.6,2.57,3.43,5767.0,4.448,26.0517345,5.9754972,0.58
21.97788944723618,24.33557563412262,4.181863902737889e-05,1.1647781523448508,0.25,0.0104894073619697,0.9999566095874964,0.5232912042742326,45.58062504708067,0.0002102608756016,8.64805108413691e-07,6.59573095456142,253.3214350333312,9.446133738488792e-05,2.4078596444283846,2.710120584314968e-05,1.0000057245133842,1,9872831,14.2,1.3,2.461,6157.0,4.159,12.555114,4.5242314,0.202
29.00789166,64.47000542863694,0.0001441412961211,1.0382258043170831,0.33,0.0312336528625128,0.999891620196106,2.2953690704694307,89.79643369726202,0.0004250040151218,1.9101272830668314e-05,19.813612783309345,1350.573700688969,0.0009396222178775,5.220016875136256,5.12394849405684e-06,1.0000112240728434,1,7098355,44.1,2.64,5.0274,5295.0,4.566,36.558846,9.03447,0.761
12.4,33.3301505843035,0.0001032094212808,0.9827174223517852,0.33,0.0186330167126406,0.9998953613390844,0.4908744173503886,145.13797964370173,0.0007072874436756,5.741182650398358e-06,9.423988723368362,388.7702839906684,0.000353294162899,2.785367199499265,0.0001759366599852,1.0000172816973096,1,6604328,22.1,2.72,5.253,6090.0,4.447,17.33398,5.570834,0.151
17.01708542713568,52051.22686070065,0.0004893163225466,1.061499465301692,0.33,0.0245607798747854,0.9998800125508291,1.1779601464456688,119.53834994121758,0.0005120987410973,5.465645204139058e-05,-0.2449366226339414,2.175863375467828,0.0005682818185751,19.2245996192954,0.0001045169375008,1.0000044292268069,1,3861595,132.7,12.94,2.632,6244.0,3.657,235.59987,26.059868,0.915
23.97587939698493,303.9487789840284,0.0004553185106333,0.8349719422951994,0.33,0.0312163459611717,0.9998203045565278,1.144889075777863,198.8236673794657,0.0008511394472914,7.806817133748645e-06,5.408566346815724,393.3890971290632,0.001167056485176,3.5918785170630048,3.763971561021595e-05,0.9999680486918598,0,5014903,14.6,1.89,2.06,5765.0,4.468,12.786533,4.6941667,0.203
20.12060301507538,255.02096660664944,0.0001116775057995,1.115916545989743,0.33,0.0137853197244186,0.999960132649618,0.8125234940179806,44.186243925672926,0.0002338825170023,1.6367345254675314e-06,22.03590447362606,1639.1640902884965,0.0001702940284117,15.927069717702162,7.157821774206319e-05,1.0000023929743873,1,8583696,99.5,3.88,6.3212,5900.0,4.309,91.00462,23.326159,0.018
22.26532663316583,18509369.640470825,0.0148446944729297,1.007625312660127,0.33,0.1362832198619515,0.9998241252100604,5.9508292721210365,80.10379229016525,0.003121097105399,3.294165018252748e-05,-15.426395390124808,254.4133643842664,0.0184325609678093,149.91526898161297,0.0001563800082783,0.9997705441831076,0,8491745,3433.7,63.68,23.0078,5022.0,3.562,2281.4678,1307.1799,0.234
8.952763819095477,17.72997927797257,0.0001066478589505,1.1963797143907875,0.2,0.0167563092604084,0.999893404949142,0.3866234008383083,170.35296003374307,0.0007262206566432,8.430551155180765e-06,1.8166554431536768,50.0117126022215,0.0002346852761488,2.261844046444969,9.237470996031892e-05,1.0000140247379383,1,8495415,17.7,2.5,1.751,5080.0,4.538,14.295716,3.4340231,0.819
24.023115577889445,155.45283770845282,0.0003121217006049,1.1273357386293477,0.33,0.0262613351441409,0.9998099128665532,0.8374651921962311,206.0724566808585,0.0008235061349168,0.0001221635133283,5.477192710857608,257.7736982531069,0.0006117579462668,3.1438643526487824,6.572107072955191e-05,0.9999870296142842,1,9455556,40.6,2.54,3.1752,5616.0,4.529,32.735558,5.7464237,0.111
17.42393582,105.37789859386342,0.0001956399664587,0.9264431859826916,0.33,0.0287640367352818,0.9998824377075356,1.2293627911393417,120.7830412133653,0.0006730070368746,2.5159117684192545e-05,59.148912025053846,8334.430017420313,0.0008930594939697,12.236090932886787,3.882416977901704e-05,1.0000132492361875,1,10214162,33.2,3.29,4.929,6018.0,4.46,29.249092,6.134604,0.927
24.0,819.912093097575,0.0001491147268635,0.9339136990839466,0.33,0.0148170085286524,0.9999366841395114,0.7217903705761517,121.31200160921928,0.0003041655177013,7.694909849087495e-06,0.4669320301102226,9.50735620579972,0.0002350782604857,2.8590812051322683,1.8575251851671304e-05,0.9999992180489916,1,10063802,46.1,4.54,11.637,6469.0,4.253,29.110292,10.933082,0.58
20.100502512562816,72.12485408142634,0.000296790543381,0.8274965457926017,0.05,0.0219451305588217,0.9999249102217368,1.1020979068302144,84.68582241294598,0.0004369745666506,1.109636803553471e-06,24.592469525969022,2562.9684621188344,0.0005819817982272,7.972405622352762,0.000172733713217,1.0000080424739344,0,8508126,51.5,26.35,1.4068,5794.0,4.372,10.411073,3.6867695,1.206
21.921608040201004,31.406753155935984,3.672825684040021e-05,0.3859726022542687,0.33,0.0102548489847076,0.9999615322056022,0.5221712635222113,46.59530443407404,0.0002013935561865,5.122937693169405e-06,8.863729298165312,498.527257612744,0.0002724585660027,2.492511969116725,6.149745061084788e-05,1.0000038826929132,0,5651829,13.6,4.44,1.78,5951.0,3.787,10.444366,4.0751796,1.009
37.8145252,744.7909742955767,0.0001569756420843,1.0835054905415145,0.33,0.0217699100436487,0.999945567684258,2.4592950539631846,47.62405611142859,0.0001927092816881,1.3166527200625389e-05,2.8618768871103164,87.89049051154572,0.0004374023979945,29.44016008752549,0.000148210961457,1.0000025416589011,1,8950853,57.9,3.04,9.109,5988.0,4.278,38.693222,9.57358,0.845
